# Rasgos activos de la red NNUE, calculados por Vigía: el sentido A del vector dorado.
# generador indices --semilla 20260911 — 100 partidas aleatorias.
# Una línea por posición: categoría|fen|rasgos vistos por las blancas|rasgos vistos por las negras
final|8/3K1k2/8/8/3b3p/7P/8/4b3 b - - 43 99|23 371 415 516 539 757|39 163 188 333 431 715
final|8/3K1k2/8/8/7p/7P/5b2/4b3 w - - 44 100|23 371 415 516 525 757|39 181 188 333 431 715
final|2K5/5k2/8/8/7p/7P/5b2/4b3 b - - 45 100|23 378 415 516 525 757|39 181 188 333 431 706
final|2K5/5k2/8/8/1b5p/7P/5b2/8 w - - 46 101|23 378 415 525 537 757|39 161 181 333 431 706
final|8/1K3k2/8/8/1b5p/7P/5b2/8 b - - 47 101|23 369 415 525 537 757|39 161 181 333 431 713
final|6k1/1K6/8/8/1b5p/7P/5b2/8 w - - 48 102|23 369 415 525 537 766|39 161 181 326 431 713
final|K5k1/8/8/8/1b5p/7P/5b2/8 b - - 49 102|23 376 415 525 537 766|39 161 181 326 431 704
final|K5k1/8/8/8/7p/b6P/5b2/8 w - - 50 103|23 376 415 525 528 766|39 168 181 326 431 704
final|1K4k1/8/8/8/7p/b6P/5b2/8 b - - 51 103|23 377 415 525 528 766|39 168 181 326 431 705
final|1K4k1/8/8/8/7p/b6P/8/4b3 w - - 52 104|23 377 415 516 528 766|39 168 188 326 431 705
final|2K3k1/8/8/8/7p/b6P/8/4b3 b - - 53 104|23 378 415 516 528 766|39 168 188 326 431 706
final|2K3k1/8/8/8/7p/b1b4P/8/8 w - - 54 105|23 378 415 528 530 766|39 168 170 326 431 706
final|6k1/2K5/8/8/7p/b1b4P/8/8 b - - 55 105|23 370 415 528 530 766|39 168 170 326 431 714
final|6k1/2K5/8/4b3/7p/b6P/8/8 w - - 56 106|23 370 415 528 548 766|39 156 168 326 431 714
final|6k1/3K4/8/4b3/7p/b6P/8/8 b - - 57 106|23 371 415 528 548 766|39 156 168 326 431 715
final|8/3K1k2/8/4b3/7p/b6P/8/8 w - - 58 107|23 371 415 528 548 757|39 156 168 333 431 715
final|2K5/5k2/8/4b3/7p/b6P/8/8 b - - 59 107|23 378 415 528 548 757|39 156 168 333 431 706
final|2K2b2/5k2/8/4b3/7p/7P/8/8 w - - 60 108|23 378 415 548 573 757|39 133 156 333 431 706
final|5b2/1K3k2/8/4b3/7p/7P/8/8 b - - 61 108|23 369 415 548 573 757|39 133 156 333 431 713
final|5b1b/1K3k2/8/8/7p/7P/8/8 w - - 62 109|23 369 415 573 575 757|39 133 135 333 431 713
final|5b1b/5k2/K7/8/7p/7P/8/8 b - - 63 109|23 360 415 573 575 757|39 133 135 333 431 720
final|5bkb/8/K7/8/7p/7P/8/8 w - - 64 110|23 360 415 573 575 766|39 133 135 326 431 720
final|5bkb/8/8/1K6/7p/7P/8/8 b - - 65 110|23 353 415 573 575 766|39 133 135 326 431 729
final|6kb/8/7b/1K6/7p/7P/8/8 w - - 66 111|23 353 415 559 575 766|39 135 151 326 431 729
final|6kb/8/7b/8/2K4p/7P/8/8 b - - 67 111|23 346 415 559 575 766|39 135 151 326 431 738
final|6kb/8/8/6b1/2K4p/7P/8/8 w - - 68 112|23 346 415 550 575 766|39 135 158 326 431 738
final|6kb/8/8/1K4b1/7p/7P/8/8 b - - 69 112|23 353 415 550 575 766|39 135 158 326 431 729
final|6kb/8/8/1K6/5b1p/7P/8/8 w - - 70 113|23 353 415 541 575 766|39 135 165 326 431 729
final|6kb/8/8/8/2K2b1p/7P/8/8 b - - 71 113|23 346 415 541 575 766|39 135 165 326 431 738
final|6kb/8/7b/8/2K4p/7P/8/8 w - - 72 114|23 346 415 559 575 766|39 135 151 326 431 738
final|6kb/8/7b/8/7p/1K5P/8/8 b - - 73 114|23 337 415 559 575 766|39 135 151 326 431 745
final|5bkb/8/8/8/7p/1K5P/8/8 w - - 74 115|23 337 415 573 575 766|39 133 135 326 431 745
final|5bkb/8/8/8/2K4p/7P/8/8 b - - 75 115|23 346 415 573 575 766|39 133 135 326 431 738
final|6kb/8/7b/3K4/7p/7P/8/8 b - - 77 116|23 355 415 559 575 766|39 135 151 326 431 731
final|7b/7k/7b/3K4/7p/7P/8/8 w - - 78 117|23 355 415 559 575 759|39 135 151 335 431 731
final|7b/7k/4K2b/8/7p/7P/8/8 b - - 79 117|23 364 415 559 575 759|39 135 151 335 431 724
final|8/7k/4K2b/8/7p/2b4P/8/8 w - - 80 118|23 364 415 530 559 759|39 151 170 335 431 724
final|8/3K3k/7b/8/7p/2b4P/8/8 b - - 81 118|23 371 415 530 559 759|39 151 170 335 431 715
final|7b/3K3k/7b/8/7p/7P/8/8 w - - 82 119|23 371 415 559 575 759|39 135 151 335 431 715
final|7b/7k/3K3b/8/7p/7P/8/8 b - - 83 119|23 363 415 559 575 759|39 135 151 335 431 723
final|7b/7k/3K4/8/7p/7P/8/2b5 w - - 84 120|23 363 415 514 575 759|39 135 186 335 431 723
final|7b/7k/4K3/8/7p/7P/8/2b5 b - - 85 120|23 364 415 514 575 759|39 135 186 335 431 724
final|8/7k/4Kb2/8/7p/7P/8/2b5 w - - 86 121|23 364 415 514 557 759|39 149 186 335 431 724
final|8/7k/5b2/5K2/7p/7P/8/2b5 b - - 87 121|23 357 415 514 557 759|39 149 186 335 431 733
final|6k1/8/5b2/5K2/7p/7P/8/2b5 w - - 88 122|23 357 415 514 557 766|39 149 186 326 431 733
final|6k1/8/5b2/8/4K2p/7P/8/2b5 b - - 89 122|23 348 415 514 557 766|39 149 186 326 431 740
final|3b2k1/8/8/8/4K2p/7P/8/2b5 w - - 90 123|23 348 415 514 571 766|39 131 186 326 431 740
final|3b2k1/8/8/4K3/7p/7P/8/2b5 b - - 91 123|23 356 415 514 571 766|39 131 186 326 431 732
final|3b1k2/8/8/4K3/7p/7P/8/2b5 w - - 92 124|23 356 415 514 571 765|39 131 186 325 431 732
final|3b1k2/8/8/8/4K2p/7P/8/2b5 b - - 93 124|23 348 415 514 571 765|39 131 186 325 431 740
final|3b1k2/8/8/8/4K2p/b6P/8/8 w - - 94 125|23 348 415 528 571 765|39 131 168 325 431 740
final|3b1k2/8/8/4K3/7p/b6P/8/8 b - - 95 125|23 356 415 528 571 765|39 131 168 325 431 732
final|3b1k2/8/3b4/4K3/7p/7P/8/8 w - - 96 126|23 356 415 555 571 765|39 131 147 325 431 732
final|3b1k2/8/3K4/8/7p/7P/8/8 b - - 0 126|23 363 415 571 765|39 131 325 431 723
final|5k2/8/1b1K4/8/7p/7P/8/8 w - - 1 127|23 363 415 553 765|39 145 325 431 723
final|5k2/8/1b2K3/8/7p/7P/8/8 b - - 2 127|23 364 415 553 765|39 145 325 431 724
final|5k2/2b5/4K3/8/7p/7P/8/8 w - - 3 128|23 364 415 562 765|39 138 325 431 724
final|5k2/2b5/8/5K2/7p/7P/8/8 b - - 4 128|23 357 415 562 765|39 138 325 431 733
final|8/2b1k3/8/5K2/7p/7P/8/8 w - - 5 129|23 357 415 562 756|39 138 332 431 733
final|8/2b1k3/8/6K1/7p/7P/8/8 b - - 6 129|23 358 415 562 756|39 138 332 431 734
final|8/4k3/8/6K1/5b1p/7P/8/8 w - - 7 130|23 358 415 541 756|39 165 332 431 734
final|8/4k3/8/8/5K1p/7P/8/8 b - - 0 130|23 349 415 756|39 332 431 741
final|8/5k2/8/8/5K1p/7P/8/8 w - - 1 131|23 349 415 757|39 333 431 741
final|8/5k2/8/8/7p/4K2P/8/8 b - - 2 131|23 340 415 757|39 333 431 748
final|5k2/8/8/8/7p/4K2P/8/8 w - - 3 132|23 340 415 765|39 325 431 748
final|5k2/8/8/8/7p/7P/4K3/8 b - - 4 132|23 332 415 765|39 325 431 756
final|8/6k1/8/8/7p/7P/4K3/8 w - - 5 133|23 332 415 758|39 334 431 756
final|8/6k1/8/8/7p/4K2P/8/8 b - - 6 133|23 340 415 758|39 334 431 748
final|8/7k/8/8/7p/4K2P/8/8 w - - 7 134|23 340 415 759|39 335 431 748
final|8/7k/8/8/7p/7P/5K2/8 b - - 8 134|23 333 415 759|39 335 431 757
final|8/8/7k/8/7p/7P/5K2/8 w - - 9 135|23 333 415 751|39 343 431 757
final|8/8/7k/8/7p/7P/6K1/8 b - - 10 135|23 334 415 751|39 343 431 758
final|8/7k/8/8/7p/7P/6K1/8 w - - 11 136|23 334 415 759|39 335 431 758
final|8/7k/8/8/7p/5K1P/8/8 b - - 12 136|23 341 415 759|39 335 431 749
final|7k/8/8/8/7p/5K1P/8/8 w - - 13 137|23 341 415 767|39 327 431 749
final|7k/8/8/8/7p/7P/5K2/8 b - - 14 137|23 333 415 767|39 327 431 757
final|8/7k/8/8/7p/7P/5K2/8 w - - 15 138|23 333 415 759|39 335 431 757
final|8/7k/8/8/7p/7P/8/6K1 b - - 16 138|23 326 415 759|39 335 431 766
final|7k/8/8/8/7p/7P/8/6K1 w - - 17 139|23 326 415 767|39 327 431 766
final|8/6k1/8/8/7p/7P/5K2/8 w - - 19 140|23 333 415 758|39 334 431 757
final|8/6k1/8/8/7p/7P/8/5K2 b - - 20 140|23 325 415 758|39 334 431 765
final|5k2/8/8/8/7p/7P/8/5K2 w - - 21 141|23 325 415 765|39 325 431 765
final|4k3/8/8/8/7p/7P/4K3/8 w - - 23 142|23 332 415 764|39 324 431 756
final|4k3/8/8/8/7p/5K1P/8/8 b - - 24 142|23 341 415 764|39 324 431 749
final|8/4k3/8/8/7p/5K1P/8/8 w - - 25 143|23 341 415 756|39 332 431 749
final|8/4k3/8/8/7p/7P/4K3/8 b - - 26 143|23 332 415 756|39 332 431 756
final|8/8/3k4/8/7p/7P/4K3/8 w - - 27 144|23 332 415 747|39 339 431 756
final|8/8/3k4/8/7p/5K1P/8/8 b - - 28 144|23 341 415 747|39 339 431 749
final|8/8/8/4k3/7p/5K1P/8/8 w - - 29 145|23 341 415 740|39 348 431 749
final|8/8/8/4k3/7p/7P/5K2/8 b - - 30 145|23 333 415 740|39 348 431 757
final|8/8/8/4k3/7p/7P/6K1/8 b - - 34 147|23 334 415 740|39 348 431 758
final|8/8/5k2/8/7p/7P/6K1/8 w - - 35 148|23 334 415 749|39 341 431 758
final|8/8/5k2/8/7p/7P/5K2/8 b - - 36 148|23 333 415 749|39 341 431 757
final|8/6k1/8/8/7p/7P/6K1/8 b - - 38 149|23 334 415 758|39 334 431 758
final|8/8/5k2/8/7p/7P/8/6K1 b - - 40 150|23 326 415 749|39 341 431 766
final|8/8/8/4k3/7p/7P/8/6K1 w - - 41 151|23 326 415 740|39 348 431 766
final|8/5k2/8/1B1p4/1P3p2/3p4/6R1/3K4 w - - 0 41|25 161 206 323 403 413 419 757|27 37 43 333 417 537 630 763
final|8/5k2/8/3p4/1P3p2/3B4/6R1/3K4 b - - 0 41|25 147 206 323 413 419 757|27 37 333 417 555 630 763
final|8/8/4k3/3p4/1P3p2/3B4/6R1/3K4 w - - 1 42|25 147 206 323 413 419 748|27 37 340 417 555 630 763
final|8/8/4k1B1/3p4/1P3p2/8/6R1/3K4 b - - 2 42|25 174 206 323 413 419 748|27 37 340 417 534 630 763
final|8/8/4k1B1/3p4/1P6/5p2/6R1/3K4 w - - 0 43|25 174 206 323 405 419 748|27 45 340 417 534 630 763
final|8/8/4k3/3p4/1P6/5p2/6R1/1B1K4 b - - 1 43|25 129 206 323 405 419 748|27 45 340 417 569 630 763
final|8/3k4/8/3p4/1P6/5p2/6R1/1B1K4 w - - 2 44|25 129 206 323 405 419 755|27 45 331 417 569 630 763
final|8/3k4/8/3p4/1P6/5p2/B5R1/3K4 b - - 3 44|25 136 206 323 405 419 755|27 45 331 417 560 630 763
final|8/4k3/8/8/1P6/8/6B1/3K4 b - - 0 47|25 142 323 756|332 417 566 763
final|8/8/4k3/8/1P6/8/6B1/3K4 w - - 1 48|25 142 323 748|340 417 566 763
final|B7/8/4k3/8/1P6/8/8/3K4 b - - 2 48|25 184 323 748|340 417 512 763
final|B7/8/8/5k2/1P6/8/8/3K4 w - - 3 49|25 184 323 741|349 417 512 763
final|8/8/8/5k2/1P2B3/8/8/3K4 b - - 4 49|25 156 323 741|349 417 548 763
final|8/8/8/8/1P2k3/8/8/3K4 w - - 0 50|25 323 732|356 417 763
final|8/8/8/8/1P2k3/8/2K5/8 b - - 1 50|25 330 732|356 417 754
final|8/8/8/8/1P1k4/8/2K5/8 w - - 2 51|25 330 731|355 417 754
final|8/8/8/8/1P1k4/1K6/8/8 b - - 3 51|25 337 731|355 417 745
final|8/8/8/3k4/1P6/1K6/8/8 w - - 4 52|25 337 739|347 417 745
final|8/8/8/3k4/1P6/8/1K6/8 b - - 5 52|25 329 739|347 417 753
final|8/8/2k5/8/1P6/8/1K6/8 w - - 6 53|25 329 746|338 417 753
final|8/8/2k5/8/1P6/8/K7/8 b - - 7 53|25 328 746|338 417 752
final|8/2k5/8/8/1P6/8/K7/8 w - - 8 54|25 328 754|330 417 752
final|8/2k5/8/8/1P6/8/8/1K6 b - - 9 54|25 321 754|330 417 761
final|8/8/2k5/8/1P6/8/8/1K6 w - - 10 55|25 321 746|338 417 761
final|8/8/3k4/8/1P6/8/K7/8 w - - 12 56|25 328 747|339 417 752
final|8/8/3k4/8/1P6/K7/8/8 b - - 13 56|25 336 747|339 417 744
final|8/8/8/4k3/1P6/K7/8/8 w - - 14 57|25 336 740|348 417 744
final|8/8/8/1P2k3/8/K7/8/8 b - - 0 57|33 336 740|348 409 744
final|8/8/8/1P3k2/8/K7/8/8 w - - 1 58|33 336 741|349 409 744
final|8/8/8/1P3k2/K7/8/8/8 b - - 2 58|33 344 741|349 409 736
final|8/8/5k2/1P6/K7/8/8/8 w - - 3 59|33 344 749|341 409 736
final|8/8/5k2/1P6/1K6/8/8/8 b - - 4 59|33 345 749|341 409 737
final|8/8/4k3/1P6/1K6/8/8/8 w - - 5 60|33 345 748|340 409 737
final|8/8/4k3/1P6/8/2K5/8/8 b - - 6 60|33 338 748|340 409 746
final|8/4k3/8/1P6/8/2K5/8/8 w - - 7 61|33 338 756|332 409 746
final|8/4k3/8/1P6/8/8/1K6/8 b - - 8 61|33 329 756|332 409 753
final|8/8/3k4/1P6/8/8/1K6/8 w - - 9 62|33 329 747|339 409 753
final|8/8/3k4/1P6/8/K7/8/8 b - - 10 62|33 336 747|339 409 744
final|8/3k4/8/1P6/8/K7/8/8 w - - 11 63|33 336 755|331 409 744
final|8/3k4/8/1P6/K7/8/8/8 b - - 12 63|33 344 755|331 409 736
final|8/4k3/8/1P6/K7/8/8/8 w - - 13 64|33 344 756|332 409 736
final|8/4k3/1P6/8/K7/8/8/8 b - - 0 64|41 344 756|332 401 736
final|8/8/1P2k3/8/K7/8/8/8 w - - 1 65|41 344 748|340 401 736
final|1Q6/8/8/1K6/8/3k4/8/8 b - - 0 69|313 353 723|363 641 729
final|1Q6/8/8/1K6/8/4k3/8/8 w - - 1 70|313 353 724|364 641 729
final|1Q6/8/8/2K5/8/4k3/8/8 b - - 2 70|313 354 724|364 641 730
final|1Q6/8/8/2K5/8/8/4k3/8 w - - 3 71|313 354 716|372 641 730
final|8/8/8/2K5/5Q2/8/4k3/8 b - - 4 71|285 354 716|372 677 730
final|8/8/8/2K5/5Q2/3k4/8/8 w - - 5 72|285 354 723|363 677 730
final|8/8/8/3K4/5Q2/3k4/8/8 b - - 6 72|285 355 723|363 677 731
final|8/8/8/3K4/5Q2/8/2k5/8 w - - 7 73|285 355 714|370 677 731
final|8/8/2K5/8/5Q2/8/2k5/8 b - - 8 73|285 362 714|370 677 722
final|8/8/2K5/8/5Q2/2k5/8/8 w - - 9 74|285 362 722|362 677 722
final|8/8/2K5/5Q2/8/2k5/8/8 b - - 10 74|293 362 722|362 669 722
final|8/8/2K5/5Q2/8/8/3k4/8 w - - 11 75|293 362 715|371 669 722
final|8/1K6/8/5Q2/8/8/3k4/8 b - - 12 75|293 369 715|371 669 713
final|8/1K6/8/5Q2/8/2k5/8/8 w - - 13 76|293 369 722|362 669 713
final|8/1K6/6Q1/8/8/2k5/8/8 b - - 14 76|302 369 722|362 662 713
final|8/1K6/6Q1/8/1k6/8/8/8 w - - 15 77|302 369 729|353 662 713
final|8/8/2K3Q1/8/1k6/8/8/8 b - - 16 77|302 362 729|353 662 722
final|8/8/2K3Q1/8/8/2k5/8/8 w - - 17 78|302 362 722|362 662 722
final|8/8/2K5/5Q2/2k5/8/8/8 w - - 19 79|293 362 730|354 669 722
final|8/8/2K5/8/2k2Q2/8/8/8 b - - 20 79|285 362 730|354 677 722
final|8/8/2K5/8/5Q2/3k4/8/8 w - - 21 80|285 362 723|363 677 722
final|8/8/2K5/8/2Q5/3k4/8/8 b - - 22 80|282 362 723|363 674 722
final|8/8/2K5/8/2k5/8/8/8 w - - 0 81|362 730|354 722
final|8/2k5/8/1RpP1pB1/8/5P2/8/4K3 b - - 0 42|21 35 166 225 324 418 421 754|26 29 330 411 429 542 601 764
final|8/3k4/8/1RpP1pB1/8/5P2/8/4K3 w - - 1 43|21 35 166 225 324 418 421 755|26 29 331 411 429 542 601 764
final|8/3k4/8/1RpP1pB1/5P2/8/8/4K3 b - - 0 43|29 35 166 225 324 418 421 755|26 29 331 411 421 542 601 764
final|8/3k4/8/1R1P1pB1/2p2P2/8/8/4K3 w - - 0 44|29 35 166 225 324 410 421 755|29 34 331 411 421 542 601 764
final|8/1R1k4/8/3P1pB1/2p2P2/8/8/4K3 b - - 1 44|29 35 166 241 324 410 421 755|29 34 331 411 421 542 585 764
final|8/1R6/3k4/3P1pB1/2p2P2/8/8/4K3 w - - 2 45|29 35 166 241 324 410 421 747|29 34 339 411 421 542 585 764
final|8/1R6/3k1B2/3P1p2/2p2P2/8/8/4K3 b - - 3 45|29 35 173 241 324 410 421 747|29 34 339 411 421 533 585 764
final|8/1R6/5B2/3k1p2/2p2P2/8/8/4K3 w - - 0 46|29 173 241 324 410 421 739|29 34 347 421 533 585 764
final|8/1R6/5B2/3k1p2/2p2P2/8/5K2/8 b - - 1 46|29 173 241 333 410 421 739|29 34 347 421 533 585 757
final|8/1R6/4kB2/5p2/2p2P2/8/5K2/8 w - - 2 47|29 173 241 333 410 421 748|29 34 340 421 533 585 757
final|8/1R6/4kB2/5p2/2p2P2/8/8/6K1 b - - 3 47|29 173 241 326 410 421 748|29 34 340 421 533 585 766
final|8/1R6/5k2/5p2/2p2P2/8/8/6K1 w - - 0 48|29 241 326 410 421 749|29 34 341 421 585 766
final|8/2R5/5k2/5p2/2p2P2/8/8/6K1 b - - 1 48|29 242 326 410 421 749|29 34 341 421 586 766
final|8/2R5/4k3/5p2/2p2P2/8/8/6K1 w - - 2 49|29 242 326 410 421 748|29 34 340 421 586 766
final|8/8/4k3/5p2/2R2P2/8/8/6K1 b - - 0 49|29 218 326 421 748|29 340 421 610 766
final|8/8/5k2/5p2/2R2P2/8/8/6K1 w - - 1 50|29 218 326 421 749|29 341 421 610 766
final|2R5/8/5k2/5p2/5P2/8/8/6K1 b - - 2 50|29 250 326 421 749|29 341 421 578 766
final|2R5/4k3/8/5p2/5P2/8/8/6K1 w - - 3 51|29 250 326 421 756|29 332 421 578 766
final|2R5/4k3/8/5p2/5P2/8/8/5K2 b - - 4 51|29 250 325 421 756|29 332 421 578 765
final|2R5/5k2/8/5p2/5P2/8/8/5K2 w - - 5 52|29 250 325 421 757|29 333 421 578 765
final|5R2/5k2/8/5p2/5P2/8/8/5K2 b - - 6 52|29 253 325 421 757|29 333 421 581 765
final|5k2/8/8/5p2/5P2/8/8/5K2 w - - 0 53|29 325 421 765|29 325 421 765
final|5k2/8/8/5p2/5P2/8/8/4K3 b - - 1 53|29 324 421 765|29 325 421 764
final|8/6k1/8/5p2/5P2/8/8/4K3 w - - 2 54|29 324 421 758|29 334 421 764
final|8/6k1/8/5p2/5P2/8/4K3/8 b - - 3 54|29 332 421 758|29 334 421 756
final|5k2/8/8/5p2/5P2/8/4K3/8 w - - 4 55|29 332 421 765|29 325 421 756
final|5k2/8/8/5p2/5P2/5K2/8/8 b - - 5 55|29 341 421 765|29 325 421 749
final|8/6k1/8/5p2/5P2/5K2/8/8 w - - 6 56|29 341 421 758|29 334 421 749
final|8/6k1/8/5p2/5P2/6K1/8/8 b - - 7 56|29 342 421 758|29 334 421 750
final|8/5k2/8/5p2/5P2/6K1/8/8 w - - 8 57|29 342 421 757|29 333 421 750
final|8/5k2/8/5p2/5P2/8/6K1/8 b - - 9 57|29 334 421 757|29 333 421 758
final|5k2/8/8/5p2/5P2/8/6K1/8 w - - 10 58|29 334 421 765|29 325 421 758
final|5k2/8/8/5p2/5P2/8/8/6K1 b - - 11 58|29 326 421 765|29 325 421 766
final|4k3/8/8/5p2/5P2/8/8/6K1 w - - 12 59|29 326 421 764|29 324 421 766
final|4k3/8/8/5p2/5P2/8/8/5K2 b - - 13 59|29 325 421 764|29 324 421 765
final|8/5k2/8/5p2/5P2/8/8/5K2 w - - 14 60|29 325 421 757|29 333 421 765
final|8/5k2/8/5p2/5P2/8/4K3/8 b - - 15 60|29 332 421 757|29 333 421 756
final|8/8/5k2/5p2/5P2/8/4K3/8 w - - 16 61|29 332 421 749|29 341 421 756
final|8/8/5k2/5p2/5P2/8/3K4/8 b - - 17 61|29 331 421 749|29 341 421 755
final|8/8/4k3/5p2/5P2/8/3K4/8 w - - 18 62|29 331 421 748|29 340 421 755
final|8/8/4k3/5p2/5P2/8/4K3/8 b - - 19 62|29 332 421 748|29 340 421 756
final|8/8/5k2/5p2/5P2/4K3/8/8 b - - 21 63|29 340 421 749|29 341 421 748
final|8/4k3/8/5p2/5P2/4K3/8/8 w - - 22 64|29 340 421 756|29 332 421 748
final|8/4k3/8/5p2/5P2/3K4/8/8 b - - 23 64|29 339 421 756|29 332 421 747
final|3k4/8/8/5p2/5P2/3K4/8/8 w - - 24 65|29 339 421 763|29 323 421 747
final|3k4/8/8/5p2/5P2/8/3K4/8 b - - 25 65|29 331 421 763|29 323 421 755
final|8/3k4/8/5p2/5P2/8/3K4/8 w - - 26 66|29 331 421 755|29 331 421 755
final|8/3k4/8/5p2/5P2/4K3/8/8 b - - 27 66|29 340 421 755|29 331 421 748
final|3k4/8/8/5p2/5P2/4K3/8/8 w - - 28 67|29 340 421 763|29 323 421 748
final|8/4k3/8/5p2/5P2/8/3K4/8 w - - 30 68|29 331 421 756|29 332 421 755
final|8/4k3/8/5p2/5P2/8/4K3/8 b - - 31 68|29 332 421 756|29 332 421 756
final|8/5k2/8/5p2/5P2/8/8/4K3 w - - 34 70|29 324 421 757|29 333 421 764
final|8/5k2/8/5p2/5P2/8/5K2/8 b - - 35 70|29 333 421 757|29 333 421 757
final|8/8/5k2/5p2/5P2/8/5K2/8 w - - 36 71|29 333 421 749|29 341 421 757
final|8/8/5k2/5p2/5P2/8/6K1/8 b - - 37 71|29 334 421 749|29 341 421 758
final|8/4k3/8/5p2/5P2/8/6K1/8 w - - 38 72|29 334 421 756|29 332 421 758
final|8/4k3/8/5p2/5P2/6K1/8/8 b - - 39 72|29 342 421 756|29 332 421 750
final|8/3k4/8/5p2/5P2/6K1/8/8 w - - 40 73|29 342 421 755|29 331 421 750
final|8/3k4/8/5p2/5P2/8/5K2/8 b - - 41 73|29 333 421 755|29 331 421 757
final|8/8/3k4/5p2/5P2/8/5K2/8 w - - 42 74|29 333 421 747|29 339 421 757
final|8/8/3k4/5p2/5P2/8/6K1/8 b - - 43 74|29 334 421 747|29 339 421 758
final|8/8/8/2k2p2/5P2/8/6K1/8 w - - 44 75|29 334 421 738|29 346 421 758
final|8/8/8/2k2p2/5P2/7K/8/8 b - - 45 75|29 343 421 738|29 346 421 751
final|8/8/8/5p2/1k3P2/7K/8/8 w - - 46 76|29 343 421 729|29 353 421 751
final|8/8/8/5p2/1k3P1K/8/8/8 b - - 47 76|29 351 421 729|29 353 421 743
final|8/8/8/k4p2/5P1K/8/8/8 w - - 48 77|29 351 421 736|29 344 421 743
final|8/8/8/k4p2/5P2/6K1/8/8 b - - 49 77|29 342 421 736|29 344 421 750
final|8/8/1k6/5p2/5P2/6K1/8/8 w - - 50 78|29 342 421 745|29 337 421 750
final|8/8/1k6/5p2/5P2/7K/8/8 b - - 51 78|29 343 421 745|29 337 421 751
final|8/8/8/k4p2/5P2/7K/8/8 w - - 52 79|29 343 421 736|29 344 421 751
final|8/8/8/1k3p2/5P2/6K1/8/8 w - - 54 80|29 342 421 737|29 345 421 750
final|8/8/8/1k3p2/5P2/5K2/8/8 b - - 55 80|29 341 421 737|29 345 421 749
final|8/8/1k6/5p2/5P2/5K2/8/8 w - - 56 81|29 341 421 745|29 337 421 749
final|8/8/1k6/5p2/5P2/8/4K3/8 b - - 57 81|29 332 421 745|29 337 421 756
final|8/8/8/k4p2/5P2/8/4K3/8 w - - 58 82|29 332 421 736|29 344 421 756
final|8/8/8/k4p2/5P2/8/3K4/8 b - - 59 82|29 331 421 736|29 344 421 755
final|8/8/8/5p2/1k3P2/8/3K4/8 w - - 60 83|29 331 421 729|29 353 421 755
final|8/8/8/5p2/1k3P2/8/4K3/8 b - - 61 83|29 332 421 729|29 353 421 756
final|8/8/8/5p2/2k2P2/8/4K3/8 w - - 62 84|29 332 421 730|29 354 421 756
final|8/8/8/5p2/2k2P2/8/5K2/8 b - - 63 84|29 333 421 730|29 354 421 757
final|8/8/8/5p2/1k3P2/8/5K2/8 w - - 64 85|29 333 421 729|29 353 421 757
final|8/8/8/5p2/1k3P2/8/8/6K1 b - - 65 85|29 326 421 729|29 353 421 766
final|8/8/8/5p2/k4P2/8/8/6K1 w - - 66 86|29 326 421 728|29 352 421 766
final|8/8/8/5p2/k4P2/8/5K2/8 b - - 67 86|29 333 421 728|29 352 421 757
final|8/8/8/5p2/1k3P2/8/8/4K3 b - - 69 87|29 324 421 729|29 353 421 764
final|8/8/8/1k3p2/5P2/8/8/4K3 w - - 70 88|29 324 421 737|29 345 421 764
final|8/8/8/1k3p2/5P2/8/8/5K2 b - - 71 88|29 325 421 737|29 345 421 765
final|8/8/8/5p2/1k3P2/8/8/5K2 w - - 72 89|29 325 421 729|29 353 421 765
final|8/8/8/1k3p2/5P2/8/4K3/8 w - - 74 90|29 332 421 737|29 345 421 756
final|8/8/8/5p2/1k3P2/5K2/8/8 w - - 76 91|29 341 421 729|29 353 421 749
final|8/8/8/5p2/1k3P2/8/6K1/8 b - - 77 91|29 334 421 729|29 353 421 758
final|8/8/8/k4p2/5P2/8/6K1/8 w - - 78 92|29 334 421 736|29 344 421 758
final|8/8/8/k4p2/5P2/7K/8/8 b - - 79 92|29 343 421 736|29 344 421 751
final|8/8/k7/5p2/5P2/7K/8/8 w - - 80 93|29 343 421 744|29 336 421 751
final|8/8/k7/5p2/5P2/8/6K1/8 b - - 81 93|29 334 421 744|29 336 421 758
final|8/8/8/1k3p2/5P2/8/6K1/8 w - - 82 94|29 334 421 737|29 345 421 758
final|8/8/8/1k3p2/5P2/7K/8/8 b - - 83 94|29 343 421 737|29 345 421 751
final|8/8/8/5p2/k4P2/7K/8/8 w - - 84 95|29 343 421 728|29 352 421 751
final|8/8/8/5p2/k4P2/8/7K/8 b - - 85 95|29 335 421 728|29 352 421 759
final|8/8/8/1k3p2/5P2/8/7K/8 w - - 86 96|29 335 421 737|29 345 421 759
final|8/8/8/1k3p2/5P2/8/8/6K1 b - - 87 96|29 326 421 737|29 345 421 766
final|8/8/2k5/5p2/5P2/8/8/6K1 w - - 88 97|29 326 421 746|29 338 421 766
final|8/8/2k5/5p2/5P2/8/6K1/8 b - - 89 97|29 334 421 746|29 338 421 758
final|8/8/1k6/5p2/5P2/8/6K1/8 w - - 90 98|29 334 421 745|29 337 421 758
final|8/8/2k5/5p2/5P2/7K/8/8 w - - 92 99|29 343 421 746|29 338 421 751
